,Rk,Player,Pos,ATOI,Team,Year
4,5.0,Bob Sweeney,C,,Team2,1990
5,6.0,Andy Brickley,LW,,Team2,1990
6,7.0,John Carter,LW,,Team2,1990
7,8.0,Greg Hawgood,D,,Team2,1990
8,9.0,Glen Wesley,D,,Team2,1990
9,10.0,Garry Galley,D,,Team2,1990
10,11.0,Randy Burridge,LW,,Team2,1990
11,12.0,Dave Christian,RW,,Team2,1990
12,13.0,Bobby Gould,RW,,Team2,1990
13,14.0,Dave Poulin,C,,Team2,1990
14,15.0,Ken Linseman,C,,Team2,1990
15,16.0,Jim Wiemer,D,,Team2,1990
16,17.0,Rob Cimetta,RW,,Team2,1990
17,18.0,Brian Propp,LW,,Team2,1990
18,19.0,Peter Douris,RW,,Team2,1990
19,20.0,Lyndon Byers,RW,,Team2,1990
20,21.0,Don Sweeney,D,,Team2,1990
21,22.0,Mike Millar,RW,,Team2,1990
22,23.0,Jarmo Kekalainen,LW,,Team2,1990
23,24.0,Stephane Quintal,D,,Team2,1990
24,25.0,Bob Joyce,LW,,Team2,1990
25,26.0,Nevin Markwart,LW,,Team2,1990
26,27.0,Allen Pedersen,D,,Team2,1990
27,28.0,Andy Moog,G,55:08,Team2,1990
28,29.0,Greg Johnston,RW,,Team2,1990
29,30.0,Wes Walz,C,,Team2,1990
30,31.0,Gord Kluzak,D,,Team2,1990
31,32.0,Michael Thelven,D,,Team2,1990
32,33.0,Bob Beers,D,,Team2,1990
33,34.0,Bill O'Dwyer,C,,Team2,1990
34,35.0,John Blum,D,,Team2,1990
35,36.0,Lou Crawford,LW,,Team2,1990
36,37.0,Ron Hoover,C,,Team2,1990
37,38.0,Brian Lawton,LW,,Team2,1990
38,39.0,Reggie Lemelin,G,53:44,Team2,1990
39,40.0,Ray Neufeld,RW,,Team2,1990
40,41.0,Bruce Shoebottom,D,,Team2,1990
41,42.0,Graeme Townshend,RW,,Team2,1990
42,,Team Total,,,Team2,1990
0,1.0,Mark Recchi*,RW,,Team1,1991
1,2.0,John Cullen,C,,Team1,1991
2,3.0,Paul Coffey*,D,,Team1,1991
3,4.0,Kevin Stevens,LW,,Team1,1991
4,5.0,Jaromir Jagr,RW,,Team1,1991
5,6.0,Zarley Zalapski,D,,Team1,1991
6,7.0,Mario Lemieux*,C,,Team1,1991
7,8.0,Bob Errey,LW,,Team1,1991
8,9.0,Joe Mullen*,RW,,Team1,1991
9,10.0,Phil Bourque,LW,,Team1,1991
10,11.0,Bryan Trottier*,C,,Team1,1991
11,12.0,Larry Murphy*,D,,Team1,1991
12,13.0,Scott Young,RW,,Team1,1991
13,14.0,Randy Gilhen,C,,Team1,1991
14,15.0,Paul Stanton,D,,Team1,1991
15,16.0,Jiri Hrdina,C,,Team1,1991
16,17.0,Tony Tanti,RW,,Team1,1991
17,18.0,Troy Loney,LW,,Team1,1991
18,19.0,Rob Brown,RW,,Team1,1991
19,20.0,Gordie Roberts,D,,Team1,1991
20,21.0,Barry Pederson,C,,Team1,1991
21,22.0,Peter Taglianetti,D,,Team1,1991
22,23.0,Ron Francis*,C,,Team1,1991
23,24.0,Ulf Samuelsson,D,,Team1,1991
24,25.0,Tom Barrasso,G,57:22,Team1,1991
25,26.0,Jim Johnson,D,,Team1,1991
26,27.0,Randy Hillier,D,,Team1,1991
27,28.0,Grant Jennings,D,,Team1,1991
28,29.0,Chris Dahlquist,D,,Team1,1991
29,30.0,Jamie Leach,RW,,Team1,1991
30,31.0,Jay Caufield,RW,,Team1,1991
31,32.0,Jeff Daniels,LW,,Team1,1991
32,33.0,Brad Aitken,LW,,Team1,1991
33,34.0,Frank Pietrangelo,G,52:25,Team1,1991
34,35.0,Ken Priestlay,C,,Team1,1991
35,36.0,Wendell Young,G,42:57,Team1,1991
36,37.0,Gord Dineen,D,,Team1,1991
37,38.0,Jim Kyte,D,,Team1,1991
38,39.0,Jim Paek,D,,Team1,1991
39,,Team Total,,,Team1,1991
0,1.0,Dave Gagner,C,,Team2,1991
1,2.0,Brian Bellows,LW,,Team2,1991
2,3.0,Brian Propp,LW,,Team2,1991
3,4.0,Neal Broten,C,,Team2,1991
4,5.0,Mike Modano*,RW,,Team2,1991
5,6.0,Bobby Smith,C,,Team2,1991
6,7.0,Ulf Dahlen,RW,,Team2,1991
7,8.0,Mark Tinordi,D,,Team2,1991
8,9.0,Doug Smail,RW,,Team2,1991
9,10.0,Brian Glynn,D,,Team2,1991
10,11.0,Gaetan Duchesne,LW,,Team2,1991
11,12.0,Perry Berezan,C,,Team2,1991
12,13.0,Ilkka Sinisalo,RW,,Team2,1991
13,14.0,Larry Murphy*,D,,Team2,1991
14,15.0,Curt Giles,D,,Team2,1991
15,16.0,Mike Craig,RW,,Team2,1991
16,17.0,Neil Wilkinson,D,,Team2,1991
17,18.0,Jim Johnson,D,,Team2,1991
18,19.0,Stew Gavin,LW,,Team2,1991
19,20.0,Chris Dahlquist,D,,Team2,1991
20,21.0,Marc Bureau,C,,Team2,1991
21,22.0,Rob Zettler,D,,Team2,1991
22,23.0,Shane Churla,RW,,Team2,1991
23,24.0,Shawn Chambers,D,,Team2,1991
24,25.0,Basil McRae,LW,,Team2,1991
25,26.0,Larry DePalma,LW,,Team2,1991
26,27.0,Jon Casey,G,57:55,Team2,1991
27,28.0,Frantisek Musil,D,,Team2,1991
28,29.0,Warren Babe,LW,,Team2,1991
29,30.0,Dan Keczmer,D,,Team2,1991
30,31.0,Pat MacLeod,D,,Team2,1991
31,32.0,Peter Taglianetti,D,,Team2,1991
32,33.0,Don Barber,LW,,Team2,1991
33,34.0,Kevin Evans,LW,,Team2,1991
34,35.0,Steve Gotaas,C,,Team2,1991
35,36.0,Brian Hayward,G,56:38,Team2,1991
36,37.0,Dean Kolstad,D,,Team2,1991
37,38.0,Mike McHugh,LW,,Team2,1991
38,39.0,Mitch Messier,C,,Team2,1991
39,40.0,Jarmo Myllys,G,39:14,Team2,1991
40,41.0,Kari Takko,G,59:22,Team2,1991
41,,Team Total,,,Team2,1991
0,1.0,Mario Lemieux*,C,,Team1,1992
1,2.0,Kevin Stevens,LW,,Team1,1992
2,3.0,Joe Mullen*,RW,,Team1,1992
3,4.0,Larry Murphy*,D,,Team1,1992
4,5.0,Mark Recchi*,RW,,Team1,1992
5,6.0,Jaromir Jagr,RW,,Team1,1992
6,7.0,Paul Coffey*,D,,Team1,1992
7,8.0,Ron Francis*,C,,Team1,1992
8,9.0,Bob Errey,LW,,Team1,1992
9,10.0,Rick Tocchet,RW,,Team1,1992
10,11.0,Bryan Trottier*,C,,Team1,1992
11,12.0,Phil Bourque,LW,,Team1,1992
12,13.0,Troy Loney,LW,,Team1,1992
13,14.0,Gordie Roberts,D,,Team1,1992
14,15.0,Jiri Hrdina,C,,Team1,1992
15,16.0,Ulf Samuelsson,D,,Team1,1992
16,17.0,Ken Priestlay,C,,Team1,1992
17,18.0,Paul Stanton,D,,Team1,1992
18,19.0,Jamie Leach,RW,,Team1,1992
19,20.0,Grant Jennings,D,,Team1,1992
20,21.0,Jim Paek,D,,Team1,1992
21,22.0,Peter Taglianetti,D,,Team1,1992
22,23.0,Tom Barrasso,G,58:25,Team1,1992
23,24.0,Shawn McEachern,C,,Team1,1992
24,25.0,Kjell Samuelsson,D,,Team1,1992
25,26.0,Jeff Chychrun,D,,Team1,1992
26,27.0,Jay Caufield,RW,,Team1,1992
27,28.0,Jeff Daniels,LW,,Team1,1992
28,29.0,Gord Dineen,D,,Team1,1992
29,30.0,Glenn Mulvenna,C,,Team1,1992
30,31.0,Todd Nelson,D,,Team1,1992
31,32.0,Frank Pietrangelo,G,45:04,Team1,1992
32,33.0,Ken Wregget,G,49:48,Team1,1992
33,34.0,Wendell Young,G,46:32,Team1,1992
34,,Team Total,,,Team1,1992
0,1.0,Jeremy Roenick,C,,Team2,1992
1,2.0,Steve Larmer,RW,,Team2,1992
2,3.0,Michel Goulet*,LW,,Team2,1992
3,4.0,Chris Chelios*,D,,Team2,1992
4,5.0,Brent Sutter,C,,Team2,1992
5,6.0,Dirk Graham,RW,,Team2,1992
6,7.0,Brian Noonan,RW,,Team2,1992
7,8.0,Steve Smith,D,,Team2,1992
8,9.0,Mike Hudson,C,,Team2,1992
9,10.0,Keith Brown,D,,Team2,1992
10,11.0,Jocelyn Lemieux,RW,,Team2,1992
11,12.0,Rob Brown,C,,Team2,1992
12,13.0,Steve Konroyd,D,,Team2,1992
13,14.0,Bryan Marchment,D,,Team2,1992
14,15.0,Stephane Matteau,LW,,Team2,1992
15,16.0,Frantisek Kucera,D,,Team2,1992
16,17.0,Greg Gilbert,LW,,Team2,1992
17,18.0,Adam Creighton,C,,Team2,1992
18,19.0,Mike Peluso,LW,,Team2,1992
19,20.0,Igor Kravchuk,D,,Team2,1992
20,21.0,Mike Stapleton,C,,Team2,1992
21,22.0,Dan Vincelette,LW,,Team2,1992
22,23.0,Steve Thomas,RW,,Team2,1992
23,24.0,John Tonelli,LW,,Team2,1992
24,25.0,Tony Horacek,LW,,Team2,1992
25,26.0,Stu Grimson,LW,,Team2,1992
26,27.0,Karl Dykhuis,D,,Team2,1992
27,28.0,Rod Buskas,D,,Team2,1992
28,29.0,Tony Hrkac,C,,Team2,1992
29,30.0,Ed Belfour*,G,56:18,Team2,1992
30,31.0,Dean McAmmond,C,,Team2,1992
31,32.0,Ryan McGill,D,,Team2,1992
32,33.0,Jimmy Waite,G,51:35,Team2,1992
33,34.0,Adam Bennett,D,,Team2,1992
34,35.0,Shawn Byram,LW,,Team2,1992
35,36.0,Rob Conn,LW,,Team2,1992
36,37.0,Paul Gillis,C,,Team2,1992
37,38.0,Dominik Hasek*,G,50:43,Team2,1992
38,39.0,Jeff Jackson,LW,,Team2,1992
39,40.0,Rick Lanz,D,,Team2,1992
40,41.0,Brad Lauer,LW,,Team2,1992
41,42.0,Ray LeBlanc,G,60:00,Team2,1992
42,43.0,Cam Russell,D,,Team2,1992
43,44.0,Sean Williams,C,,Team2,1992
44,,Team Total,,,Team2,1992
0,1.0,Vincent Damphousse,LW,,Team1,1993
1,2.0,Kirk Muller,C,,Team1,1993
2,3.0,Brian Bellows,RW,,Team1,1993
3,4.0,Stephan Lebeau,C,,Team1,1993
4,5.0,Mike Keane,RW,,Team1,1993
5,6.0,Denis Savard*,C,,Team1,1993
6,7.0,Gilbert Dionne,LW,,Team1,1993
7,8.0,Eric Desjardins,D,,Team1,1993
8,9.0,John LeClair,LW,,Team1,1993
9,10.0,Mathieu Schneider,D,,Team1,1993
10,11.0,Patrice Brisebois,D,,Team1,1993
11,12.0,Kevin Haller,D,,Team1,1993
12,13.0,Benoit Brunet,LW,,Team1,1993
13,14.0,J.J. Daigneault,D,,Team1,1993
14,15.0,Gary Leeman,RW,,Team1,1993
15,16.0,Guy Carbonneau*,C,,Team1,1993
16,17.0,Paul DiPietro,C,,Team1,1993
17,18.0,Lyle Odelein,D,,Team1,1993
18,19.0,Todd Ewen,RW,,Team1,1993
19,20.0,Ed Ronan,RW,,Team1,1993
20,21.0,Brian Skrudland,C,,Team1,1993
21,22.0,Mario Roberge,LW,,Team1,1993
22,23.0,Sean Hill,D,,Team1,1993
23,24.0,Jesse Belanger,C,,Team1,1993
24,25.0,Oleg Petrov,RW,,Team1,1993
25,26.0,Donald Dufresne,D,,Team1,1993
26,27.0,Patrick Roy*,G,57:59,Team1,1993
27,28.0,Andre Racicot,G,55:07,Team1,1993
28,29.0,Rob Ramage,D,,Team1,1993
29,30.0,Patrik Carnback,LW,,Team1,1993
30,31.0,Frederic Chabot,G,40:00,Team1,1993
31,32.0,Eric Charron,D,,Team1,1993
32,33.0,Patric Kjellberg,LW,,Team1,1993
33,34.0,Turner Stevenson,RW,,Team1,1993
34,,Team Total,,,Team1,1993
0,1.0,Luc Robitaille*,LW,,Team2,1993
1,2.0,Jari Kurri*,RW,,Team2,1993
2,3.0,Tony Granato,RW,,Team2,1993
3,4.0,Mike Donnelly,LW,,Team2,1993
4,5.0,Wayne Gretzky*,C,,Team2,1993
5,6.0,Rob Blake*,D,,Team2,1993
6,7.0,Paul Coffey*,D,,Team2,1993
7,8.0,Tomas Sandstrom,RW,,Team2,1993
8,9.0,Alexei Zhitnik,D,,Team2,1993
9,10.0,Marty McSorley,D,,Team2,1993
10,11.0,Corey Millen,C,,Team2,1993
11,12.0,Darryl Sydor,D,,Team2,1993
12,13.0,Charlie Huddy,D,,Team2,1993
13,14.0,Lonnie Loach,LW,,Team2,1993
14,15.0,Jimmy Carson,C,,Team2,1993
15,16.0,Pat Conacher,C,,Team2,1993
16,17.0,Dave Taylor,RW,,Team2,1993
17,18.0,Warren Rychel,LW,,Team2,1993
18,19.0,Jim Hiller,RW,,Team2,1993
19,20.0,John McIntyre,C,,Team2,1993
20,21.0,Bob Kudelski,RW,,Team2,1993
21,22.0,Gary Shuchuk,RW,,Team2,1993
22,23.0,Robert Lang,C,,Team2,1993
23,24.0,Kelly Hrudey,G,54:22,Team2,1993
24,25.0,Brent Thompson,D,,Team2,1993
25,26.0,Guy Leveque,C,,Team2,1993
26,27.0,Mark Hardy,D,,Team2,1993
27,28.0,Peter Ahola,D,,Team2,1993
28,29.0,Robb Stauber,G,55:58,Team2,1993
29,30.0,Tim Watters,D,,Team2,1993
30,31.0,Sean Whyte,RW,,Team2,1993
31,32.0,Jeff Chychrun,D,,Team2,1993
32,33.0,Marc Potvin,RW,,Team2,1993
33,34.0,Francis Breault,RW,,Team2,1993
34,35.0,Rene Chapdelaine,D,,Team2,1993
35,36.0,Marc Fortier,C,,Team2,1993
36,37.0,David Goverde,G,49:09,Team2,1993
37,38.0,Rick Knickle,G,53:14,Team2,1993
38,39.0,Brandy Semchuk,RW,,Team2,1993
39,40.0,Jim Thomson,RW,,Team2,1993
40,41.0,Darryl Williams,LW,,Team2,1993
41,,Team Total,,,Team2,1993
0,1.0,Pavel Bure*,RW,,Team1,1994
1,2.0,Geoff Courtnall,LW,,Team1,1994
2,3.0,Cliff Ronning,C,,Team1,1994
3,4.0,Trevor Linden,RW,,Team1,1994
4,5.0,Murray Craven,C,,Team1,1994
5,6.0,Jyrki Lumme,D,,Team1,1994
6,7.0,Jiri Slegr,D,,Team1,1994
7,8.0,Greg Adams,LW,,Team1,1994
8,9.0,Dave Babych,D,,Team1,1994
9,10.0,Gino Odjick,LW,,Team1,1994
10,11.0,Sergio Momesso,LW,,Team1,1994
11,12.0,Dana Murzyn,D,,Team1,1994
12,13.0,Jimmy Carson,C,,Team1,1994
13,14.0,Martin Gelinas,RW,,Team1,1994
14,15.0,Jose Charbonneau,RW,,Team1,1994
15,16.0,Gerald Diduck,D,,Team1,1994
16,17.0,Adrien Plavsic,D,,Team1,1994
17,18.0,John McIntyre,C,,Team1,1994
18,19.0,Dixon Ward,LW,,Team1,1994
19,20.0,Tim Hunter,RW,,Team1,1994
20,21.0,Dane Jackson,RW,,Team1,1994
21,22.0,Dan Kesa,RW,,Team1,1994
22,23.0,Jeff Brown,D,,Team1,1994
23,24.0,Robert Dirk,D,,Team1,1994
24,25.0,Evgeny Namestnikov,D,,Team1,1994
25,26.0,Neil Eisenhut,C,,Team1,1994
26,27.0,Kirk McLean,G,60:09,Team1,1994
27,28.0,Shawn Antoski,LW,,Team1,1994
28,29.0,Nathan LaFayette,C,,Team1,1994
29,30.0,Stephane Morin,LW,,Team1,1994
30,31.0,Bret Hedican,D,,Team1,1994
31,32.0,Brian Glynn,D,,Team1,1994
32,33.0,Michael Peca,C,,Team1,1994
33,34.0,Kay Whitmore,G,60:03,Team1,1994
34,,Team Total,,,Team1,1994
0,1.0,Sergei Zubov*,D,,Team2,1994
1,2.0,Mark Messier*,C,,Team2,1994
2,3.0,Adam Graves,LW,,Team2,1994
3,4.0,Brian Leetch*,D,,Team2,1994
4,5.0,Steve Larmer,RW,,Team2,1994
5,6.0,Alex Kovalev,C,,Team2,1994
6,7.0,Esa Tikkanen,LW,,Team2,1994
7,8.0,Mike Gartner*,RW,,Team2,1994
8,9.0,Sergei Nemchinov,C,,Team2,1994
9,10.0,Tony Amonte,RW,,Team2,1994
10,11.0,Kevin Lowe,D,,Team2,1994
11,12.0,Alexander Karpovtsev,D,,Team2,1994
12,13.0,Jeff Beukeboom,D,,Team2,1994
13,14.0,Greg Gilbert,LW,,Team2,1994
14,15.0,Mike Hudson,C,,Team2,1994
15,16.0,Jay Wells,D,,Team2,1994
16,17.0,Nick Kypreos,RW,,Team2,1994
17,18.0,Ed Olczyk,C,,Team2,1994
18,19.0,Stephane Matteau,LW,,Team2,1994
19,20.0,Glenn Anderson*,RW,,Team2,1994
20,21.0,Craig MacTavish,C,,Team2,1994
21,22.0,Brian Noonan,RW,,Team2,1994
22,23.0,Darren Turcotte,C,,Team2,1994
23,24.0,Joe Kocur,RW,,Team2,1994
24,25.0,James Patrick,D,,Team2,1994
25,26.0,Peter Andersson,D,,Team2,1994
26,27.0,Mike Hartman,LW,,Team2,1994
27,28.0,Glenn Healy,G,47:11,Team2,1994
28,29.0,Doug Lidster,D,,Team2,1994
29,30.0,Joby Messier,D,,Team2,1994
30,31.0,Mattias Norstrom,D,,Team2,1994
31,32.0,Phil Bourque,LW,,Team2,1994
32,33.0,Jim Hiller,RW,,Team2,1994
33,34.0,Daniel Lacroix,C,,Team2,1994
34,35.0,Todd Marchant,C,,Team2,1994
35,36.0,Mike Richter,G,54:34,Team2,1994
36,,Team Total,,,Team2,1994
0,1.0,Stephane Richer,RW,,Team1,1995
1,2.0,John MacLean,RW,,Team1,1995
2,3.0,Neal Broten,C,,Team1,1995
3,4.0,Bill Guerin,RW,,Team1,1995
4,5.0,Scott Stevens*,D,,Team1,1995
5,6.0,Bobby Holik,C,,Team1,1995
6,7.0,Claude Lemieux,LW,,Team1,1995
7,8.0,Scott Niedermayer*,D,,Team1,1995
8,9.0,Tom Chorske,LW,,Team1,1995
9,10.0,Brian Rolston,C,,Team1,1995
10,11.0,Bob Carpenter,C,,Team1,1995
11,12.0,Bruce Driver,D,,Team1,1995
12,13.0,Tommy Albelin,D,,Team1,1995
13,14.0,Sergei Brylin,C,,Team1,1995
14,15.0,Randy McKay,RW,,Team1,1995
15,16.0,Mike Peluso,LW,,Team1,1995
16,17.0,Alexander Semak,C,,Team1,1995
17,18.0,Shawn Chambers,D,,Team1,1995
18,19.0,Corey Millen,C,,Team1,1995
19,20.0,Jim Dowd,C,,Team1,1995
20,21.0,Danton Cole,LW,,Team1,1995
21,22.0,Ken Daneyko,D,,Team1,1995
22,23.0,Valeri Zelepukin,LW,,Team1,1995
23,24.0,Chris McAlpine,D,,Team1,1995
24,25.0,Martin Brodeur*,G,54:37,Team1,1995
25,26.0,Kevin Dean,D,,Team1,1995
26,27.0,David Emma,RW,,Team1,1995
27,28.0,Viacheslav Fetisov*,D,,Team1,1995
28,29.0,Ben Hankinson,RW,,Team1,1995
29,30.0,Jaroslav Modry,D,,Team1,1995
30,31.0,Reid Simpson,LW,,Team1,1995
31,32.0,Jason Smith,D,,Team1,1995
32,33.0,Chris Terreri,G,48:56,Team1,1995
33,,Team Total,,,Team1,1995
0,1.0,Paul Coffey*,D,,Team2,1995
1,2.0,Sergei Fedorov*,C,,Team2,1995
2,3.0,Dino Ciccarelli*,RW,,Team2,1995
3,4.0,Keith Primeau,C,,Team2,1995
4,5.0,Ray Sheppard,RW,,Team2,1995
5,6.0,Steve Yzerman*,C,,Team2,1995
6,7.0,Vyacheslav Kozlov,LW,,Team2,1995
7,8.0,Nicklas Lidstrom*,D,,Team2,1995
8,9.0,Doug Brown,RW,,Team2,1995
9,10.0,Bob Errey,LW,,Team2,1995
10,11.0,Shawn Burr,LW,,Team2,1995
11,12.0,Viacheslav Fetisov*,D,,Team2,1995
12,13.0,Vladimir Konstantinov,D,,Team2,1995
13,14.0,Darren McCarty,RW,,Team2,1995
14,15.0,Martin Lapointe,RW,,Team2,1995
15,16.0,Greg Johnson,C,,Team2,1995
16,17.0,Kris Draper,C,,Team2,1995
17,18.0,Mike Sillinger,C,,Team2,1995
18,19.0,Bob Rouse,D,,Team2,1995
19,20.0,Mark Howe*,D,,Team2,1995
20,21.0,Mike Krushelnyski,LW,,Team2,1995
21,22.0,Tim Taylor,C,,Team2,1995
22,23.0,Terry Carkner,D,,Team2,1995
23,24.0,Mike Ramsey,D,,Team2,1995
24,25.0,Jason York,D,,Team2,1995
25,26.0,Bob Halkidis,D,,Team2,1995
26,27.0,Aaron Ward,D,,Team2,1995
27,28.0,Mark Ferner,D,,Team2,1995
28,29.0,Stu Grimson,LW,,Team2,1995
29,30.0,Andrew McKim,C,,Team2,1995
30,31.0,Chris Osgood,G,57:12,Team2,1995
31,32.0,Mike Vernon,G,60:14,Team2,1995
32,,Team Total,,,Team2,1995
0,1.0,Scott Mellanby,RW,,Team1,1996
1,2.0,Rob Niedermayer,C,,Team1,1996
2,3.0,Robert Svehla,D,,Team1,1996
3,4.0,Johan Garpenlov,LW,,Team1,1996
4,5.0,Stu Barnes,C,,Team1,1996
5,6.0,Jesse Belanger,C,,Team1,1996
6,7.0,Jody Hull,RW,,Team1,1996
7,8.0,Tom Fitzgerald,C,,Team1,1996
8,9.0,Bill Lindsay,LW,,Team1,1996
9,10.0,Jason Woolley,D,,Team1,1996
10,11.0,Gord Murphy,D,,Team1,1996
11,12.0,Radek Dvorak,RW,,Team1,1996
12,13.0,Brian Skrudland,C,,Team1,1996
13,14.0,Dave Lowry,LW,,Team1,1996
14,15.0,Mike Hough,LW,,Team1,1996
15,16.0,Ed Jovanovski,D,,Team1,1996
16,17.0,Terry Carkner,D,,Team1,1996
17,18.0,Magnus Svensson,D,,Team1,1996
18,19.0,Ray Sheppard,RW,,Team1,1996
19,20.0,Geoff Smith,D,,Team1,1996
20,21.0,Paul Laus,D,,Team1,1996
21,22.0,Martin Straka,LW,,Team1,1996
22,23.0,Gilbert Dionne,LW,,Team1,1996
23,24.0,Brett Harkins,LW,,Team1,1996
24,25.0,Rhett Warrener,D,,Team1,1996
25,26.0,Brad Smyth,RW,,Team1,1996
26,27.0,David Nemirovsky,RW,,Team1,1996
27,28.0,John Vanbiesbrouck,G,55:45,Team1,1996
28,29.0,Bob Kudelski,RW,,Team1,1996
29,30.0,Steve Washburn,C,,Team1,1996
